trek_id,trek_name,category,starting_point,start_lat,start_lon,start_elevation,ending_point,end_lat,end_lon,end_elevation,distance_km,duration_days,difficulty,best_season,approx_cost,,
17,Mukteshwar Trail,Beginner,Mukteshwar,29.4727,79.6465,2171,Chauli ki Jali,29.4678,79.6492,2150,3,1,Easy,All year,"₹500–₹1,500",,
18,Chaubatia,Beginner,Ranikhet,29.6425,79.4318,1869,Chaubatia Orchards,29.6053,79.444,1850,8,1,Easy,All year,"₹1,000–₹2,500",,
19,Majhkhali Trail,Beginner,Ranikhet,29.6425,79.4318,1869,Majhkhali,29.6644,79.4892,1650,10,1,Easy,All year,"₹1,000–₹2,500",,
20,Kanatal Forest Trek,Beginner,Kanatal,30.4075,78.3475,2590,Kaudia Forest,30.415,78.361,2600,6,1,Easy,Sep–Jun,"₹1,500–₹2,500",,
21,Dhanaulti Eco Park Trails,Beginner,Dhanaulti,30.4217,78.2384,2250,Eco Park Heights,30.4225,78.2395,2286,3,1,Easy,All year,"₹500–₹1,000",,
22,Surkanda Devi,Beginner,Kaddukhal,30.4093,78.2831,2500,Surkanda Devi Temple,30.4109,78.2917,2750,4,1,Easy,May–Nov,"₹1,000–₹2,000",,
23,Nag Devta Trail,Beginner,Mussoorie,30.4598,78.0664,2005,Nag Devta Temple,30.4491,78.0772,1900,6,1,Easy,All year,"₹500–₹1,500",,
24,Jabarkhet Nature Reserve,Beginner,Jabarkhet,30.4571,78.1066,2150,Reserve Top,30.461,78.1132,2200,5,1,Easy,All year,"₹1,000–₹2,000",,
25,Valley View–Lansdowne Trails,Beginner,Lansdowne,29.8377,78.6871,1700,Tip N Top,29.8335,78.6925,1750,4,1,Easy,All year,"₹500–₹1,500",,
26,Kedarkantha,Moderate,Sankri,31.0792,78.1764,1920,Kedarkantha Summit,31.0226,78.1712,3810,20,5–6,Moderate,Dec–Apr,"₹7,000–₹9,000",,
27,Dayara Bugyal,Moderate,Raithal,30.7938,78.6015,2100,Dayara Top,30.8252,78.636,3400,22,4–5,Easy-Moderate,Sep–Jun,"₹6,500–₹8,500",,
28,Har Ki Dun,Moderate,Sankri,31.0792,78.1764,1920,Har Ki Dun Valley,31.1447,78.3005,3566,47,6–7,Moderate,Mar–Jun,"₹9,000–₹12,000",,
29,Brahmatal,Moderate,Lohajung,30.1558,79.5786,2300,Brahmatal Peak,30.1528,79.6272,3734,24,5–6,Moderate,Dec–Mar,"₹7,500–₹9,500",,
30,Kuari Pass,Moderate,Dhak,30.505,79.593,2000,Kuari Pass,30.4358,79.6105,3876,33,5–6,Moderate,Sep–Jun,"₹8,000–₹10,500",,
31,Ali Bedni Bugyal,Moderate,Lohajung,30.1558,79.5786,2300,Bedni Top,30.1983,79.658,3354,31,5–6,Moderate,Sep–Jun,"₹8,000–₹10,000",,
32,Phulara Ridge,Moderate,Sankri,31.0792,78.1764,1920,Phulara Ridge Top,31.0565,78.201,3700,25,5–6,Moderate,Sep–Nov,"₹8,500–₹11,000",,
33,Valley of Flowers,Moderate,Govindghat,30.6247,79.5539,1828,Valley Endpoint,30.7231,79.593,3658,38,5–6,Moderate,Jul–Sep,"₹8,000–₹11,000",,
34,Pindari Glacier,Moderate,Khati,30.1065,79.9405,2210,Pindari Zero Point,30.2452,80.0055,3660,48,6–7,Moderate,Sep–May,"₹11,000–₹15,000",,
35,Kafni Glacier,Moderate,Khati,30.1065,79.9405,2210,Kafni Zero Point,30.2235,80.0438,3860,44,6–7,Moderate,Sep–May,"₹11,000–₹15,000",,
36,Dodital,Moderate,Sangamchatti,30.7836,78.4357,1350,Dodital Lake,30.8841,78.5204,3024,44,5–6,Moderate,Sep–Jun,"₹7,500–₹10,000",,
37,Dodital–Darwa Pass,Moderate,Sangamchatti,30.7836,78.4357,1350,Darwa Pass,30.908,78.5135,4115,54,6–7,Moderate-Difficult,Sep–Jun,"₹9,000–₹12,000",,
38,Pangarchulla,Moderate,Dhak,30.505,79.593,2000,Pangarchulla Peak,30.4333,79.6166,4590,38,6–7,Difficult,Apr–May,"₹10,000–₹13,000",,
39,Nag Tibba–Thatyur,Moderate,Pantwari,30.5822,78.0261,1400,Thatyur,30.575,78.1186,1150,24,2–3,Easy-Moderate,Sep–Jun,"₹3,500–₹5,000",,
40,Kedarnath–Vasuki Tal,Moderate,Gaurikund,30.6527,79.0267,1982,Vasuki Tal,30.7497,79.0435,4135,48,5–6,Moderate-Difficult,May–Oct,"₹8,000–₹12,000",,
41,Madhyamaheshwar,Moderate,Ransi,30.6015,79.1601,1950,Madhyamaheshwar Temple,30.6385,79.2198,3490,32,4–5,Moderate,May–Oct,"₹6,500–₹9,000",,
42,Kalpeshwar–Rudranath,Moderate,Helang,30.5281,79.4972,1450,Rudranath Temple,30.5186,79.3175,3600,45,5–6,Moderate-Difficult,May–Oct,"₹8,500–₹12,000",,
43,Rudranath,Moderate,Sagar,30.4502,79.2965,2000,Rudranath Temple,30.5186,79.3175,3600,40,4–5,Moderate-Difficult,May–Oct,"₹7,000–₹10,000",,
44,Tungnath–Chandrashila,Moderate,Chopta,30.4851,79.1765,2680,Chandrashila Peak,30.4897,79.2215,3690,10,1–2,Moderate,Sep–Jun,"₹3,000–₹5,000",,
45,Deoriatal–Bisuri Tal,Moderate,Sari,30.495,79.1245,2000,Bisuri Tal,30.536,79.167,4000,30,4–5,Moderate-Difficult,May–Oct,"₹8,000–₹11,000",,
46,Kartik Swami,Moderate,Kanakchauri,30.3425,79.1416,2600,Kartik Swami Temple,30.3392,79.136,3050,6,1–2,Easy-Moderate,Oct–May,"₹2,000–₹4,000",,
47,Chandrashila–Tungnath Extended,Moderate,Chopta,30.4851,79.1765,2680,Chandrashila Peak,30.4897,79.2215,3690,12,2–3,Moderate,Sep–Jun,"₹4,000–₹6,000",,
48,Surya Top,Moderate,Raithal,30.7938,78.6015,2100,Surya Top,30.8405,78.6472,3900,28,5–6,Moderate,Sep–Jun,"₹8,000–₹11,000",,
49,Dayara–Bakaria Top,Moderate,Raithal,30.7938,78.6015,2100,Bakaria Top,30.829,78.641,3810,25,5–6,Moderate,Sep–Jun,"₹7,500–₹10,000",,
50,Bedni–Wan,Moderate,Lohajung,30.1558,79.5786,2300,Wan,30.1388,79.6366,2450,35,4–5,Moderate,Sep–Jun,"₹7,500–₹10,000",,
51,Rupin Pass,Moderate,Dhaula,31.1167,78.0833,1550,Rupin Pass,31.2588,78.1569,4650,52,7–8,Difficult,May–Jun,"₹15,000–₹18,000",,
52,Bali Pass,Moderate,Sankri,31.0792,78.1764,1920,Bali Pass,30.9856,78.398,4950,60,7–8,Difficult,May–Sep,"₹16,000–₹20,000",,
53,Ruinsara Tal,Moderate,Sankri,31.0792,78.1764,1920,Ruinsara Tal,31.0544,78.4316,3500,50,6–7,Moderate,May–Oct,"₹11,000–₹14,000",,
54,Har Ki Dun–Ruinsara,Moderate,Sankri,31.0792,78.1764,1920,Ruinsara Tal,31.0544,78.4316,3500,65,8–9,Moderate-Difficult,May–Oct,"₹14,000–₹18,000",,
55,Panpatia Col Approach,Moderate,Ransi,30.6015,79.1601,1950,Base Camp,needs_verification,needs_verification,4200,38,5–6,Difficult,May–Sep,"₹12,000–₹16,000",,
56,Satopanth Lake,Moderate,Mana,30.7722,79.4955,3200,Satopanth Lake,30.7386,79.3622,4600,44,6–7,Difficult,Jun–Sep,"₹14,000–₹18,000",,
57,Vasuki Tal,Moderate,Gaurikund,30.6527,79.0267,1982,Vasuki Tal,30.7497,79.0435,4135,48,5–6,Moderate-Difficult,May–Oct,"₹8,000–₹12,000",,
58,Gaumukh,Moderate,Gangotri,30.9947,78.9398,3100,Gaumukh,30.9272,79.0769,4023,36,3–4,Moderate,May–Oct,"₹6,000–₹9,000",,
59,Tapovan,Moderate,Gangotri,30.9947,78.9398,3100,Tapovan,30.9084,79.0735,4463,44,5–6,Moderate-Difficult,May–Oct,"₹9,000–₹13,000",,
60,Gaumukh–Tapovan,Moderate,Gangotri,30.9947,78.9398,3100,Tapovan,30.9084,79.0735,4463,44,5–6,Moderate-Difficult,May–Oct,"₹9,000–₹13,000",,
61,Roopkund,Difficult,Lohajung,30.1558,79.5786,2300,Roopkund Lake,30.2294,79.7314,4778,53,7–8,Difficult,May–Jun,"₹12,000–₹16,000",,
62,Nanda Devi Base Camp,Difficult,Munsiyari,30.0766,80.2415,2200,Nanda Devi East BC,30.3444,80.0333,4000,85,10–12,Difficult,May–Oct,"₹18,000–₹25,000",,
63,Milam Glacier,Difficult,Munsiyari,30.0766,80.2415,2200,Milam Glacier,30.4357,80.0515,4140,110,11–13,Difficult,May–Oct,"₹18,000–₹26,000",,
64,Ralam Glacier,Difficult,Munsiyari,30.0766,80.2415,2200,Ralam Glacier,30.3166,80.2666,3900,95,10–12,Difficult,May–Oct,"₹17,000–₹24,000",,
65,Sunderdhunga Glacier,Difficult,Khati,30.1065,79.9405,2210,Sunderdhunga Glacier,30.1833,79.9333,4320,55,7–8,Difficult,May–Oct,"₹12,000–₹17,000",,
66,Kedar Tal,Difficult,Gangotri,30.9947,78.9398,3100,Kedar Tal,30.9069,78.9669,4750,34,6–7,Difficult,May–Oct,"₹13,000–₹17,000",,
67,Kalindi Khal,Difficult,Gangotri,30.9947,78.9398,3100,Kalindi Khal,30.8522,79.2569,5950,90,12–15,Extreme,Jun–Sep,"₹35,000–₹50,000",,
68,Auden's Col,Difficult,Gangotri,30.9947,78.9398,3100,Auden's Col,30.8288,78.9711,5490,85,13–15,Extreme,Jun–Sep,"₹40,000–₹55,000",,
69,Bhagirathi Parvat Approach,Difficult,Gangotri,30.9947,78.9398,3100,Nandanvan,30.8694,79.0991,4330,52,7–8,Difficult,May–Oct,"₹14,000–₹19,000",,
70,Gangotri–Kedarnath Traverse,Difficult,Gangotri,30.9947,78.9398,3100,Kedarnath Temple,30.7346,79.0669,3583,105,14–16,Extreme,Jun–Sep,"₹45,000–₹60,000",,
71,Panpatia Col,Difficult,Badrinath,30.7447,79.4914,3133,Panpatia Col,30.6866,79.313,5260,75,11–13,Extreme,Jun–Sep,"₹35,000–₹50,000",,
72,Mana Pass,Difficult,Mana,30.7722,79.4955,3200,Mana Pass,31.0683,79.4167,5632,95,9–11,Extreme,Jun–Sep,"₹25,000–₹40,000",,
73,Sinla Pass,Difficult,Dharchula,29.8525,80.5283,940,Sinla Pass,30.2333,80.6,5495,80,11–13,Very Difficult,May–Sep,"₹25,000–₹35,000",,
74,Adi Kailash,Difficult,Dharchula,29.8525,80.5283,940,Jolingkong,30.3166,80.55,4400,140,10–12,Difficult,May–Sep,"₹20,000–₹30,000",,
75,Om Parvat,Difficult,Dharchula,29.8525,80.5283,940,Nabhidhang,30.2166,80.95,4246,135,9–11,Difficult,May–Sep,"₹20,000–₹30,000",,
76,Adi Kailash–Om Parvat Circuit,Difficult,Dharchula,29.8525,80.5283,940,Jolingkong / Nabhidhang,30.3166,80.55,4400,165,12–14,Difficult,May–Sep,"₹30,000–₹45,000",,
77,Chiplakot,Difficult,Tawaghat,29.9322,80.5986,1200,Chiplakot Bugyal,29.9833,80.4833,3300,35,5–6,Moderate-Difficult,May–Oct,"₹12,000–₹16,000",,
78,Nanda Kot Base Camp,Difficult,Gogina,30.0538,80.0016,2000,Nanda Kot BC,needs_verification,needs_verification,4100,55,8–9,Difficult,May–Oct,"₹15,000–₹22,000",,
79,Panchachuli Base Camp,Difficult,Dharchula,29.8525,80.5283,940,Duk Base Camp,30.1333,80.5333,4260,75,8–10,Difficult,May–Oct,"₹16,000–₹24,000",,
80,Kalpeshwar–Rudranath–Madhyamaheshwar,Difficult,Helang,30.5281,79.4972,1450,Madhyamaheshwar,30.6385,79.2198,3490,95,9–11,Very Difficult,May–Oct,"₹18,000–₹26,000",,
81,Deoban,Hidden/Lesser-known,Chakrata,30.7016,77.8696,2270,Deoban,30.7513,77.8669,2865,26,2–3,Easy-Moderate,All year,"₹4,000–₹6,000",,
82,Gidara Bugyal,Hidden/Lesser-known,Bhangeli,30.8402,78.6875,2300,Gidara Top,30.8872,78.6655,4100,35,6–7,Moderate-Difficult,Sep–Jun,"₹12,000–₹16,000",,
83,Paniya Top,Hidden/Lesser-known,needs_verification,needs_verification,needs_verification,needs_verification,Paniya Top,needs_verification,needs_verification,needs_verification,needs_verification,4–6,Moderate,May–Oct,needs_verification,,
84,Ranthan Kharak,Hidden/Lesser-known,Gogina,30.0538,80.0016,2000,Ranthan Top,needs_verification,needs_verification,3900,38,6–7,Moderate-Difficult,May–Oct,"₹10,500–₹12,500",,
85,Bhuki–Khodatal,Hidden/Lesser-known,Bhuki,30.8711,78.6816,2200,Khodatal,needs_verification,needs_verification,3800,45,6–8,Difficult,May–Oct,"₹14,000–₹18,000",,
86,Dharali–Saptal,Hidden/Lesser-known,Dharali,31.0402,78.7909,2680,Saptal,needs_verification,needs_verification,4300,40,6–7,Difficult,May–Oct,"₹14,000–₹19,000",,
87,Purali–Brahmital,Hidden/Lesser-known,Purali,30.9166,78.65,2100,Brahmital,needs_verification,needs_verification,3500,30,5–6,Moderate,May–Oct,"₹10,000–₹15,000",,
88,Saptal,Hidden/Lesser-known,Dharali,31.0402,78.7909,2680,Saptal,needs_verification,needs_verification,4300,40,6–7,Difficult,May–Oct,"₹14,000–₹19,000",,
89,Har Ki Dun–Maninda Tal,Hidden/Lesser-known,Sankri,31.0792,78.1764,1920,Maninda Tal,31.1711,78.3333,3950,52,7–8,Moderate-Difficult,May–Oct,"₹11,000–₹14,000",,
90,Harshil–Kyarkoti,Hidden/Lesser-known,Harshil,31.0385,78.7514,2745,Kyarkoti,needs_verification,needs_verification,3500,28,5–6,Difficult,May–Oct,"₹12,000–₹16,000",,
91,Nelang Valley Trail,Hidden/Lesser-known,Bhaironghati,31.0333,78.8666,2750,Nelang,needs_verification,needs_verification,3150,25,2–4,Moderate,May–Oct,"₹5,000–₹10,000",,
92,Jadung Valley,Hidden/Lesser-known,Nelang,needs_verification,needs_verification,3150,Jadung,needs_verification,needs_verification,3800,30,3–5,Moderate,May–Oct,"₹8,000–₹12,000",,
93,Malla–Kush Kalyan,Hidden/Lesser-known,Malla,30.6111,78.7216,1500,Kush Kalyan Bugyal,30.6866,78.7905,3150,32,5–6,Moderate,May–Oct,"₹9,000–₹13,000",,
94,Panwali Kantha,Hidden/Lesser-known,Ghansali,30.4166,78.65,950,Panwali Kantha,30.5694,78.9677,3500,35,5–6,Moderate,May–Oct,"₹9,000–₹12,000",,
95,Sahastratal,Hidden/Lesser-known,Malla,30.6111,78.7216,1500,Sahastratal,30.73,78.8611,4600,65,8–9,Difficult,Jun–Sep,"₹15,000–₹20,000",,
96,Kush Kalyan Bugyal,Hidden/Lesser-known,Malla,30.6111,78.7216,1500,Kush Kalyan Bugyal,30.6866,78.7905,3150,32,5–6,Moderate,May–Oct,"₹9,000–₹13,000",,
97,Dayara–Gidara Traverse,Hidden/Lesser-known,Raithal,30.7938,78.6015,2100,Gidara Top,30.8872,78.6655,4100,50,7–8,Difficult,Sep–Jun,"₹15,000–₹19,000",,
98,Kafni–Pindari Circuit,Hidden/Lesser-known,Khati,30.1065,79.9405,2210,Pindari/Kafni Divide,needs_verification,needs_verification,3860,70,8–10,Difficult,May–Oct,"₹16,000–₹22,000",,
99,Namik Glacier,Hidden/Lesser-known,Gogina,30.0538,80.0016,2000,Namik Glacier,30.1583,80.0538,3600,45,7–8,Moderate-Difficult,May–Oct,"₹14,000–₹18,000",,
100,Ralam–Milam Circuit,Hidden/Lesser-known,Munsiyari,30.0766,80.2415,2200,Milam Glacier,30.4357,80.0515,4140,120,12–14,Very Difficult,May–Oct,"₹25,000–₹35,000",,
